Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Chevrolet,Aveo,2010,regular unleaded,108,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,35,27,1385,11965
Chevrolet,Aveo,2011,regular unleaded,108,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,35,27,1385,11965
Nissan,Versa,2015,regular unleaded,109,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,36,27,2009,11990
Nissan,Versa,2016,regular unleaded,109,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,36,27,2009,11990
Nissan,Versa,2017,regular unleaded,109,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,36,27,2009,11990
Chevrolet,Aveo,2010,regular unleaded,108,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,1385,12115
Chevrolet,Aveo,2011,regular unleaded,108,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,1385,12115
Chevrolet,Spark,2015,regular unleaded,84,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,39,31,1385,12270
Chevrolet,Spark,2016,regular unleaded,98,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,41,30,1385,12660
Mitsubishi,Mirage,2014,regular unleaded,74,3,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,42,34,436,12995
Mitsubishi,Mirage,2015,regular unleaded,74,3,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,42,34,436,12995
Mitsubishi,Mirage,2017,regular unleaded,78,3,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,41,33,436,12995
Chevrolet,Spark,2017,regular unleaded,98,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,38,29,1385,13000
Nissan,Versa,2015,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,35,26,2009,13490
Suzuki,SX4,2011,regular unleaded,150,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,33,23,481,13499
Nissan,Versa,2016,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,35,26,2009,13540
Chevrolet,Spark,2015,regular unleaded,84,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,39,30,1385,13580
Nissan,Versa,2017,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,35,26,2009,13680
Suzuki,SX4,2012,regular unleaded,150,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,33,23,481,13699
Chevrolet,Spark,2016,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,41,31,1385,13760
Kia,Rio,2015,regular unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,27,1720,13990
Kia,Rio,2015,regular unleaded,138,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,37,27,1720,13990
Nissan,Versa,2015,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,40,31,2009,13990
Mitsubishi,Mirage G4,2017,regular unleaded,78,3,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,40,33,436,13995
Mitsubishi,Mirage,2014,regular unleaded,74,3,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,44,37,436,13995
Chevrolet,Spark,2015,regular unleaded,84,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,39,31,1385,14040
Nissan,Versa,2016,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,40,31,2009,14040
Mitsubishi,Mirage,2015,regular unleaded,74,3,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,44,37,436,14095
Chevrolet,Aveo,2010,regular unleaded,108,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,35,27,1385,14100
Chevrolet,Aveo,2011,regular unleaded,108,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,35,27,1385,14100
Chevrolet,Spark,2017,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,38,30,1385,14100
Ford,Fiesta,2017,regular unleaded,120,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,35,27,5657,14130
Nissan,Versa,2017,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,39,31,2009,14130
Kia,Rio,2016,regular unleaded,138,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,38,27,1720,14165
Kia,Rio,2017,regular unleaded,138,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,36,27,1720,14165
Nissan,Versa Note,2015,regular unleaded,109,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,27,2009,14180
Mitsubishi,Mirage,2014,regular unleaded,74,3,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,42,34,436,14195
Mitsubishi,Mirage,2017,regular unleaded,78,3,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,43,37,436,14195
Nissan,Versa Note,2016,regular unleaded,109,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,27,2009,14230
Chevrolet,Sonic,2015,regular unleaded,138,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,35,26,1385,14245
Chevrolet,Aveo,2010,regular unleaded,108,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,1385,14250
Chevrolet,Aveo,2011,regular unleaded,108,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,1385,14250
Mitsubishi,Mirage,2015,regular unleaded,74,3,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,42,34,436,14295
Chevrolet,Sonic,2016,regular unleaded,138,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,35,26,1385,14345
Ford,Fiesta,2017,regular unleaded,120,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,5657,14430
Ford,Fiesta,2015,regular unleaded,120,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,36,28,5657,14455
Mazda,2,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,14530
Ford,Fiesta,2016,regular unleaded,120,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,35,27,5657,14580
Hyundai,Accent,2014,regular unleaded,138,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,38,27,1439,14645
Chevrolet,Spark,2016,regular unleaded,98,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,41,30,1385,14685
Mazda,2,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,14720
Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,14720
Hyundai,Accent,2015,regular unleaded,137,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,38,27,1439,14745
Hyundai,Accent,2016,regular unleaded,137,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,38,27,1439,14745
Mitsubishi,Mirage,2017,regular unleaded,78,3,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,41,33,436,14795
Chevrolet,Spark,2017,regular unleaded,98,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,38,29,1385,14825
Chevrolet,Sonic,2015,regular unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,26,1385,14845
Toyota,Yaris,2015,regular unleaded,106,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,37,30,2031,14845
Ford,Fiesta,2015,regular unleaded,120,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,28,5657,14855
Ford,Fiesta,2016,regular unleaded,120,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,5657,14880
Hyundai,Accent,2014,regular unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,38,27,1439,14895
Toyota,Yaris,2016,regular unleaded,106,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,37,30,2031,14895
Kia,Soul,2014,regular unleaded,130,4,MANUAL,front wheel drive,4,Hatchback,Compact,Wagon,30,24,1720,14900
Mitsubishi,Mirage,2015,regular unleaded,74,3,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,44,37,436,14945
Chevrolet,Sonic,2016,regular unleaded,138,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,26,1385,14945
Nissan,Cube,2012,regular unleaded,122,4,MANUAL,front wheel drive,4,Hatchback,Compact,Wagon,30,25,2009,14980
Chevrolet,Cobalt,2010,regular unleaded,155,4,MANUAL,front wheel drive,2,Compact,Compact,Coupe,37,25,1385,14990
Chevrolet,Cobalt,2010,regular unleaded,155,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,37,25,1385,14990
Hyundai,Accent,2015,regular unleaded,137,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,38,27,1439,14995
Hyundai,Accent,2016,regular unleaded,137,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,38,27,1439,14995
Chevrolet,Spark,2015,regular unleaded,84,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,39,30,1385,15095
Chevrolet,Sonic,2017,regular unleaded,138,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,33,25,1385,15145
Kia,Rio,2015,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,37,27,1720,15190
Kia,Soul,2015,regular unleaded,130,4,MANUAL,front wheel drive,4,Hatchback,Compact,Wagon,30,24,1720,15190
Mitsubishi,Mirage G4,2017,regular unleaded,78,3,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,42,35,436,15195
Mitsubishi,Mirage,2014,regular unleaded,74,3,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,44,37,436,15195
Suzuki,SX4,2011,regular unleaded,150,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,33,23,481,15195
Toyota,Yaris,2017,regular unleaded,106,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,36,30,2031,15250
Kia,Rio,2015,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,27,1720,15290
Scion,xD,2012,regular unleaded,128,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,33,27,105,15345
Ford,Fiesta,2017,regular unleaded,120,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,35,27,5657,15360
Chevrolet,Aveo,2010,regular unleaded,108,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,1385,15365
Chevrolet,Aveo,2010,regular unleaded,108,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,35,27,1385,15365
Chevrolet,Aveo,2011,regular unleaded,108,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,1385,15365
Chevrolet,Aveo,2011,regular unleaded,108,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,35,27,1385,15365
Mazda,2,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,15370
Mitsubishi,Mirage,2015,regular unleaded,74,3,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,44,37,436,15395
Kia,Rio,2016,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,37,27,1720,15395
Kia,Rio,2017,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,36,27,1720,15395
Nissan,Versa Note,2015,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,40,31,2009,15430
Chevrolet,Spark,2015,regular unleaded,84,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,39,31,1385,15440
Nissan,Versa Note,2016,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,40,31,2009,15480
Nissan,Versa Note,2017,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,39,31,2009,15480
Scion,iQ,2013,regular unleaded,94,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,37,36,105,15495
Kia,Rio,2016,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,27,1720,15495
Kia,Rio,2017,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,27,1720,15495
Chevrolet,Sonic,2015,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,35,25,1385,15495
Suzuki,SX4,2012,regular unleaded,150,4,MANUAL,front wheel drive,4,Sub-Compact,Compact,Sedan,33,23,481,15495
Nissan,Versa,2015,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,40,31,2009,15530
Mazda,2,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,15560
Mazda,2,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28,586,15560
Toyota,Yaris,2015,regular unleaded,106,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,36,30,2031,15570
Nissan,Versa,2016,regular unleaded,109,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,40,31,2009,15580
Chevrolet,Sonic,2016,regular unleaded,138,4,AUTOMATIC,front wheel drive,4,Sub-Compact,Compact,Sedan,35,24,1385,15595
Toyota,Yaris,2016,regular unleaded,106,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,36,30,2031,15620
